Module	BẢNG CHUYỂN ĐỔI YÊU CẦU CHỨC NĂNG SANG TRƯỜNG HỢP SỬ DỤNG (USE-CASE)								
									
									
	TT	Tên Use-Case	Tên tác nhân chính	Tên tác nhân phụ	Mô tả trường hợp sử dụng	Số Trans	Mức độ cần thiết	Mức độ	Điếm số Trans
Hộ liên kết	I. Quản lý Hộ liên kết								
	72	Tạo hộ liên kết	Admin ERP		Tạo mới hộ liên kết: tên, mã hộ, SĐT, CCCD, vùng, diện tích, năm tham gia				
	73	Nhập / import danh sách hộ từ file Excel.							
	74	Gắn hộ liên kết với Giống chè			(quan hệ nhiều-nhiều).				
	75	Cập nhật hộ liên kết	Admin ERP		Chỉnh sửa thông tin hộ liên kết				
	76	Xóa / ngưng hoạt động hộ	Admin ERP		Xóa hoặc chuyển trạng thái ngưng hợp tác				
	77	Xem danh sách hộ liên kết	Admin ERP		Hiển thị danh sách hộ				
	78	Tìm kiếm hộ liên kết	Admin ERP		Tìm theo tên, mã hộ, SĐT				
	79	Lọc hộ theo Giống chè	Admin ERP		Lọc theo vùng trồng (Bản Chang, Nà Bay...)				
	80	Sắp xếp danh sách hộ	Admin ERP		Sắp xếp theo mã, tên, sản lượng				
	81	Xem chi tiết hộ liên kết	Admin ERP		Xem thông tin chi tiết hộ,từ vùng nào, diện tích bao nhiêu,...				
	82	Xuất danh sách hộ	Admin ERP		Xuất Excel / PDF				
	83	In danh sách hộ	Admin ERP		In danh sách				
	II. Quản lý QR hộ liên kết								
	90	Sinh mã QR hộ liên kết	Hệ thống		Tạo QR theo mã hộ				
	91	Xem QR hộ liên kết	Admin ERP		Hiển thị QR				
	92	Tải xuống QR hộ liên kết	Admin ERP		In QR dùng khi thu mua				
	III. Thống kê & Dashboard								
	93	Xem tổng số hộ liên kết	Admin ERP	Hệ thống	Tổng số hộ				
	94	Xem tổng số Giống chè của hộ	Admin ERP	Hệ thống	Tổng vùng				
	95	Xem tổng diện tích	Admin ERP	Hệ thống	Tổng ha				
	96	Xem tổng sản lượng	Admin ERP	Hệ thống	Tổng kg/tấn				
	97	Xem chất lượng trung bình	Admin ERP	Hệ thống	% CL trung bình				
Quy cách và tiêu chuẩn	I. Quản lý Quy cách thu hái & đơn giá								
	98	Tạo quy cách thu hái	Admin ERP		Tạo quy cách (1 tôm, 1 tôm 1 lá, 2 lá…)				
	99	Cập nhật quy cách	Admin ERP		Chỉnh sửa thông tin quy cách				
	100	Xóa quy cách	Admin ERP		Xóa quy cách không sử dụng				
	101	Xem danh sách quy cách	Admin ERP		Hiển thị danh sách				
	102	Xem chi tiết quy cách	Admin ERP		Xem thông tin chi tiết				
	103	Thiết lập đơn giá theo quy cách	Admin ERP		Nhập đơn giá cố định hoặc khoảng giá				
	104	Gán Giống chè cho quy cách	Admin ERP		Gán Giống chè: Trung du, Lai, Shan Tuyết...				
	105	Gán Thương phẩm cho quy cách	Admin ERP		Chè xanh, hồng trà, bạch trà…				
	106	Xuất danh sách quy cách	Admin ERP		Export Excel / PDF				
	107	In danh sách quy cách	Admin ERP		In				
	II. Quản lý đơn giá theo % chất lượng								
	108	Tạo mức đánh giá chất lượng	Admin ERP		Tạo khoảng % (70–79, 80–89…)				
	109	Cập nhật mức đánh giá	Admin ERP		Sửa khoảng %				
	110	Xóa mức đánh giá	Admin ERP		Xóa				
	111	Thiết lập đơn giá theo %	Admin ERP		Gán giá tương ứng từng mức				
	112	Gán quy cách áp dụng	Admin ERP		Áp dụng cho 1 tôm, 1 tôm 2 lá				
	113	Xếp loại chất lượng	Admin ERP		Đạt / Khá / Tốt / Xuất sắc				
	114	Xem bảng đơn giá	Admin ERP		Hiển thị bảng				
	115	Xuất bảng đơn giá	Admin ERP		Excel / PDF				
	III. Quản lý tiêu chuẩn đánh giá chất lượng								
	116	Tạo tiêu chuẩn đánh giá	Admin ERP		Tạo tiêu chí (độ non, đồng đều…)				
	117	Cập nhật tiêu chuẩn	Admin ERP		Sửa nội dung				
	118	Xóa tiêu chuẩn	Admin ERP		Xóa				
	119	Xem danh sách tiêu chuẩn	Admin ERP		Hiển thị				
	120	Xem chi tiết tiêu chuẩn	Admin ERP		Nội dung mô tả				
Quản lý Nguyên vật liệu phụ trợ	I. Quản lý Nguyên vật liệu phụ trợ								
	121	Tạo mới Nguyên vật liệu phụ trợ	Admin ERP		Admin ERP tạo mới  nguyên vật liệu phụ trợ trong hệ thống ERP, nhập các thông tin như tên, mã, nhà cung cấp,..mô tả để phục vụ sản xuất và quản lý tồn kho.				
	122	Cập nhật thông tin Nguyên vật liệu phụ trợ	Admin ERP		Admin ERP chỉnh sửa thông tin  nguyên vật liệu phụ trợ đã tạo, bao gồm tên, mã, đơn vị tính, mô tả và các thuộc tính liên quan.				
	123	Gán đơn vị tính khi tạo Nguyên vật liệu phụ trợ	Admin ERP	Hệ thống	Khi tạo mới  nguyên vật liệu phụ trợ, người dùng lựa chọn đơn vị tính từ danh sách đã được khai báo, hệ thống ghi nhận để phục vụ quản lý tồn kho và sản xuất.				
	124	Đồng bộ danh sách Nguyên vật liệu phụ trợ sang TXNG	Hệ thống ERP	Hệ thống TXNG	Hệ thống ERP tự động gửi danh sách  nguyên vật liệu phụ trợ sang hệ thống TXNG để sử dụng trong quá trình khai báo sản xuất.				
	125	Nhận thông báo sử dụng Nguyên vật liệu phụ trợ từ TXNG	Hệ thống ERP	Hệ thống TXNG	Khi TXNG ghi nhận việc sử dụng  nguyên vật liệu phụ trợ trong sản xuất, ERP tiếp nhận dữ liệu và tự động cập nhật, trừ tồn kho tương ứng.				
	126	Xem danh sách Nguyên vật liệu phụ trợ	Admin ERP		Admin ERP tra cứu danh sách nguyên vật liệu phụ trợ trong hệ thống, hỗ trợ tìm kiếm và lọc theo các tiêu chí.				
	127	Tính tồn kho Nguyên vật liệu phụ trợ	Admin ERP	Hệ thống	Admin ERP kho xem số lượng tồn của từng  nguyên vật liệu phụ trợ , hệ thống hiển thị cảnh báo khi tồn kho dưới mức tối thiểu.				
	128	Tạo mới đơn vị tính	Admin ERP	Quản lý	Admin ERP tạo mới đơn vị tính (kg, g, cái, hộp, bao, lít...) để sử dụng khi khai báo vật tư trong hệ thống.				
	129	Cập nhật đơn vị tính	Admin ERP		Admin ERP chỉnh sửa thông tin đơn vị tính như tên, ký hiệu, mô tả.				
	130	Xem danh sách đơn vị tính	Admin ERP		Admin ERP tra cứu danh sách các đơn vị tính đã khai báo trong hệ thống.				
Quản lý Vật tư	I. Quản lý vật tư								
	131	Tạo mới vật tư							
	132	Cập nhật vật tư	Hệ thống ERP	Hệ thống TXNG	ERP đẩy danh sách Nguyên vật liệu phụ trợ sang TXNG để Admin ERP có thể chọn khi khai báo hoạt động sản xuất.				
	133	Xem chi tiết thông tin 	Hệ thống ERP	Hệ thống TXNG	Khi TXNG ghi nhận sử dụng vật tư trong khai báo sản xuất, ERP nhận thông tin để tính trừ tồn kho Nguyên vật liệu phụ trợ.				
	134	Ẩn vật tư							
	135	Xem danh sách vật tư	Admin ERP		Hiển thị toàn bộ danh sách Nguyên vật liệu phụ trợtrong hệ thống ERP.				
	136	Tính tồn kho vật tư	Admin ERP	Hệ thống	Xem số lượng tồn hiện tại của từng Nguyên vật liệu phụ trợ, cảnh báo khi dưới ngưỡng tối thiểu.				
"Quản lý đơn vị Vật tư
"	II. Quản lý đơn vị vật tư								
		Tạo mới đơn vị vật tư							
		Cập nhật đơn vị vật tư							
		Xem chi tiết thông tin đơn vị vật tư							
		Ẩn đơn vị vật tư							
		Xem danh sách đơn vị 							
		Tính tồn kho đơn vị vật tư							
Thu mua / Thu hái	I. Quản lý Lệnh thu mua								
	136	Tạo lệnh thu mua	Admin ERP		Tạo kế hoạch thu mua theo thời gian				
	137	Nhập mục tiêu thu mua	Admin ERP		Nhập tổng sản lượng cần				
	138	Cảnh báo thu mua ít / nhiều hơn so với mục tiêu	Hệ thống		Hiển thị cảnh báo				
	139	Chọn Giống chè	Admin ERP		Chè / vỏ quýt				
	140	Chọn quy cách thu mua	Admin ERP		1 tôm, 1 tôm 2 lá…				
	141	Chọn Hộ thu mua/Cơ sở thu hái	Admin ERP		Bản Chang, Nà Bay…				
	142	Phân bổ sản lượng theo hộ	Admin ERP	Hệ thống	Giao chỉ tiêu cho từng hộ				
	143	Thiết lập thời gian thu mua	Admin ERP		Từ ngày – đến ngày				
	144	Cập nhật lệnh thu mua	Admin ERP		Chỉnh sửa				
	145	Hủy lệnh thu mua	Admin ERP		Hủy kế hoạch				
	146	Xem danh sách lệnh	Admin ERP		Danh sách lệnh				
	147	Xem chi tiết lệnh	Admin ERP		Xem kế hoạch				
	148	Theo dõi tiến độ lệnh	Hệ thống		% hoàn thành				
	149	Đóng lệnh thu mua	Admin ERP		Khi hoàn thành				
	II. Quản lý đơn thu mua/thu hái								
	150	Tạo đơn thu mua	Hệ thống	TXNG	Nhận các sự kiện thu mua đã khai báo				
	151	Gán Giống chè vào Đơn thu mua	Hệ thống	TXNG	Nhận batch nguyên liệu từ TXNG				
	152	Gán thông tin QC thu mua	Hệ thống	TXNG	Nhận % chất lượng đã đánh giá				
	153	Tính giá tiền	Hệ thống	TXNG	Nhận mapping: hộ, vùng, quy cách				
	154	Gán lô thu mua vào lệnh	Hệ thống		Mapping lô TXNG vào kế hoạch ERP				
	155	Cập nhật đơn thu mua	Hệ thống		Tổng hợp theo lệnh				
	156	Xem chi tiết 	Admin ERP	Hệ thống					
Quản lý Cơ sở đóng gói	I. Quản lý Cơ sở								
	157	Nhận yêu cầu tạo mới Cơ sở từ TXNG	Hệ thống ERP	Hệ thống TXNG	ERP nhận request tạo mới Cơ sở (Nhà đóng gói, Nông hộ, Vùng trồng, Cơ sở chế biến...) do TXNG gửi sang để phê duyệt.				
	158	Tạo cơ sở sản xuất	Admin ERP	Hệ thống	Tạo mới cơ sở sản xuất				
	159	Cập nhật thông tin Cơ sở (từ TXNG)	Hệ thống ERP	Hệ thống TXNG	ERP nhận request cập nhật thông tin Cơ sở từ TXNG, xác nhận và đồng bộ lại sang TXNG.				
	160	Xóa / vô hiệu hóa Cơ sở (từ TXNG)	Admin ERP	Hệ thống TXNG	ERP nhận yêu cầu xóa Cơ sở từ TXNG, quản lý xác nhận hoặc từ chối, gửi kết quả về TXNG.				
	161	Cập nhật cơ sở sản xuất	Admin ERP	Hệ thống	Chỉnh sửa thông tin cơ sở: tên, địa chỉ, mã cơ sở, trạng thái hoạt động				
	162	Xem danh sách cơ sở sản xuất	Admin ERP	Hệ thống	Hiển thị danh sách tất cả cơ sở sản xuất đang hoạt động trong hệ thống				
	163	Xem chi tiết cơ sở sản xuất	Admin ERP	Hệ thống	Xem thông tin chi tiết: địa điểm, lịch sử sản xuất, nhân sự, liên kết TXNG				
	164	Ngừng hoạt động cơ sở sản xuất	Admin ERP	Hệ thống	Khóa cơ sở sản xuất không cho sử dụng trong lệnh sản xuất mới				
		Gán nhân viên thuộc Cơ sở							
Quản lý Lệnh sản xuất	I. Quản lý Lệnh sản xuất								
	165	Tạo lệnh sản xuất	Admin ERP 	Quản lý	Tạo mới lệnh sản xuất				
	166	Gán loại chè/thương phẩm sản xuất	Admin ERP		Chọn loại chè (Chè xanh / Hồng trà / Bạch trà)				
	167	Nhập ngày sản xuất	Admin ERP		Thiết lập ngày sản xuất				
	168	Nhập ghi chú sản xuất	Admin ERP		Ghi chú thông tin				
	169	Cập nhật lệnh sản xuất	Admin ERP		Chỉnh sửa thông tin				
	170	Hủy lệnh sản xuất	Admin ERP	Quản lý	Hủy lệnh				
	171	Xem danh sách lệnh SX	Admin ERP	Quản lý	Hiển thị danh sách				
	172	Tìm kiếm / lọc lệnh SX	Admin ERP		Theo mã, loại chè, trạng thái				
	173	Xem chi tiết lệnh SX	Admin ERP		Xem đầy đủ thông tin				
Quản lý lô sản xuất	V. Quản lý lô sản xuất (NHẬN TỪ TXNG)								
	174	Nhận lô sản xuất từ TXNG	Admin ERP 	Hệ thống TXNG	Admin ERP ERP kiểm tra và xác nhận lô sản xuất (batch Lxxxxx) do TXNG gửi sang, bao gồm thông tin nguyên liệu đầu vào, đầu ra và mapping liên quan để ghi nhận vào hệ thống				
	175	Xem danh sách lô sản xuất	Admin ERP		Hiển thị danh sách các lô sản xuất đã được đồng bộ từ TXNG, bao gồm mã lô, loại chè, ngày sản xuất, khối lượng và trạng thái QC.				
	176	Tìm kiếm / lọc lô sản xuất	Admin ERP		Cho phép tìm kiếm lô sản xuất theo mã lô, loại chè, thời gian sản xuất hoặc trạng thái để dễ dàng tra cứu và quản lý.				
	177	Xem chi tiết lô sản xuất	Admin ERP	Hệ thống TXNG	Hiển thị chi tiết thông tin của một lô sản xuất bao gồm nguyên liệu đầu vào, các công đoạn sản xuất, khối lượng thành phẩm và thông tin truy xuất nguồn gốc liên quan.				
	178	Theo dõi nguồn gốc lô sản xuất	Admin ERP	Hệ thống TXNG	Cho phép truy vết ngược từ lô sản xuất về các lô nguyên liệu thu mua (RAW batch), nông hộ, vùng trồng và các hoạt động canh tác liên quan.				
	179	Theo dõi sản lượng sản xuất	Admin ERP		Hiển thị tổng khối lượng thành phẩm được tạo ra từ các lô sản xuất để phục vụ quản lý sản lượng và lập kế hoạch kinh doanh.				
	180	Tính tồn kho cho lô sản xuất	Hệ thống	Hệ thống TXNG	Kiểm tra trạng thái QC của lô sản xuất (Đạt / Không đạt), chỉ cho phép các lô đạt tiêu chuẩn được đưa vào đóng gói hoặc nhập kho.				
Quản lý Cơ sở đóng gói	I. Quản lý Cơ sở đóng gói								
		Tạo mới cơ sở đóng gói	Admin ERP	Hệ thống	Tạo mới cơ sở đóng gói				
	181	Nhận yêu cầu tạo mới Cơ sở đóng gói từ TXNG	Hệ thống ERP	Hệ thống TXNG	ERP nhận request tạo Nhà đóng gói mới từ TXNG, hiển thị để quản lý xác nhận hoặc từ chối.				
	182	Xem danh sách Cơ sở đóng gói	Admin ERP	Hệ thống	Hiển thị danh sách tất cả cơ sở đóng gói (Nhà đóng gói) đang hoạt động trong hệ thống.				
	183	Xem chi tiết Cơ sở đóng gói	Admin ERP	Hệ thống	Xem thông tin chi tiết: địa chỉ, liên hệ, lịch sử đóng gói, nhân sự, liên kết TXNG.				
	184	Cập nhật Cơ sở đóng gói (từ TXNG)	Hệ thống ERP	Hệ thống TXNG	ERP nhận và xử lý request cập nhật thông tin Cơ sở đóng gói do TXNG gửi sang.				
	185	Ngừng hoạt động Cơ sở đóng gói	Admin ERP	Hệ thống	Khóa Cơ sở đóng gói không cho sử dụng trong các lệnh đóng gói mới.				
	I. Nhận dữ liệu đóng gói từ TXNG								
	186	Nhận lô đóng gói 5kg từ TXNG	Hệ thống	Hệ thống TXNG	Hệ thống ERP tự động nhận các lô đóng gói sơ cấp (bao 5kg – batch Bxxxxx) từ hệ thống TXNG sau khi người dùng khai báo sự kiện đóng gói. Thông tin bao gồm loại chè, khối lượng, nguồn gốc từ các lô sản xuất.				
	187	Nhận lô đóng gói thành phẩm từ TXNG	Hệ thống	Hệ thống TXNG	Hệ thống ERP nhận các lô đóng gói thứ cấp (batch Sxxxxx) từ TXNG, bao gồm sản phẩm đóng gói nhỏ (500g, 250g…) và chè vụn (trà túi lọc), phục vụ quản lý tồn kho và bán hàng.				
	188	Xem lịch sử đóng gói theo thời gian.							
Quản lý Sản phẩm 	I. Quản lý Danh mục Sản phẩm đầu ra								
	189	Tạo mới Sản phẩm (Thương phẩm)	Admin ERP	Quản lý	Thêm mới sản phẩm đầu ra vào ERP: Hộp chè 5kg, Hộp chè 3kg, Gói chè 500g, 250g, Trà túi lọc... kèm thông tin loại, khối lượng, giá.				
		Thiết lập thông tin quảng bá			Đặc điểm, Công dụng, Tính chất, ....				
	190	Nhận yêu cầu tạo mới thương phẩm	Hệ thống	Hệ thống TXNG					
	191	Cập nhật thông tin Sản phẩm	Admin ERP		Chỉnh sửa thông tin sản phẩm: tên, quy cách đóng gói, giá niêm yết, trạng thái kinh doanh.				
	192	Đồng bộ Sản phẩm sang TXNG	Hệ thống ERP	Hệ thống TXNG	ERP đẩy danh sách Thương phẩm (sản phẩm đầu ra) sang TXNG để sử dụng trong khai báo sự kiện đóng gói.				
	193	Phân loại sản phẩm để quản lý 	Admin ERP		Admin ERP thiết lập loại sản phẩm theo từng sự kiện nghiệp vụ (Nguyên liệu – Thu mua, Bán thành phẩm – Sản xuất, Thương phẩm – Đóng gói)				
	194	Phân loại danh mục sản phẩm	Admin ERP		Tạo, sửa, xóa nhóm sản phẩm (Chè xanh, Hồng trà, Trà túi lọc...) để phân loại và lọc nhanh.	M			
	195	Quản lý đơn vị tính	Admin ERP		Tạo và quản lý các đơn vị tính sử dụng trong hệ thống: kg, hộp, túi, thùng...	M			
